date,us,world,uk
2020/10/09,972,9119,77
2020/10/10,1014,5749,87
2020/10/11,590,4823,81
2020/10/12,394,3978,65
2020/10/13,314,3973,50
2020/10/14,817,5530,143
2020/10/15,970,6037,137
2020/10/16,828,6111,138
2020/10/17,899,5945,136
2020/10/18,690,5538,150
2020/10/19,385,3949,67
2020/10/20,459,4670,80
2020/10/21,933,6405,241
2020/10/22,1135,6740,191
2020/10/23,841,6349,189
2020/10/24,953,6250,224
